district,got,department,province,polling_tables,missing,pct_cov
SAN JUAN DE MIRAFLORES,695,LIMA,LIMA,1115,420,0.6233183856502242
VILLA EL SALVADOR,791,LIMA,LIMA,1163,372,0.6801375752364575
LURIN,46,LIMA,LIMA,247,201,0.1862348178137652
SANTIAGO DE SURCO,1000,LIMA,LIMA,1184,184,0.8445945945945946
PACHACAMAC,147,LIMA,LIMA,315,168,0.4666666666666667
CARMEN DE LA LEGUA-REYNOSO,0,CALLAO,CALLAO,147,147,0
SAN MIGUEL,387,LIMA,LIMA,504,117,0.7678571428571429
CIENEGUILLA,0,LIMA,LIMA,103,103,0
SAN MARTIN DE PORRES,1709,LIMA,LIMA,1798,89,0.9505005561735261
LURIGANCHO,466,LIMA,LIMA,548,82,0.8503649635036497
SAN JUAN DE LURIGANCHO,2673,LIMA,LIMA,2744,71,0.9741253644314869
LA VICTORIA,581,LIMA,LIMA,642,61,0.9049844236760125
SAN BORJA,359,LIMA,LIMA,420,61,0.8547619047619047
COMAS,1433,LIMA,LIMA,1493,60,0.9598124581379772
LIMA,972,LIMA,LIMA,1030,58,0.9436893203883495
MIRAFLORES,427,LIMA,LIMA,480,53,0.8895833333333333
CARABAYLLO,804,LIMA,LIMA,855,51,0.9403508771929825
CHORRILLOS,845,LIMA,LIMA,896,51,0.9430803571428571
RIMAC,519,LIMA,LIMA,567,48,0.9153439153439153
MAGDALENA DEL MAR,208,LIMA,LIMA,255,47,0.8156862745098039
VENTANILLA,812,CALLAO,CALLAO,859,47,0.9452852153667055
CALLAO,1281,CALLAO,CALLAO,1316,35,0.973404255319149
EL AGUSTINO,540,LIMA,LIMA,572,32,0.9440559440559441
LOS OLIVOS,952,LIMA,LIMA,983,31,0.9684638860630722
ATE,1621,LIMA,LIMA,1650,29,0.9824242424242424
PUENTE PIEDRA,863,LIMA,LIMA,889,26,0.9707536557930259
SAN ISIDRO,256,LIMA,LIMA,281,25,0.9110320284697508
ANCON,141,LIMA,LIMA,164,23,0.8597560975609756
VILLA MARIA DEL TRIUNFO,1218,LIMA,LIMA,1241,23,0.9814665592264303
SANTA ANITA,610,LIMA,LIMA,630,20,0.9682539682539683
SURQUILLO,318,LIMA,LIMA,337,19,0.9436201780415431
JESUS MARIA,417,LIMA,LIMA,431,14,0.9675174013921114
INDEPENDENCIA,582,LIMA,LIMA,595,13,0.9781512605042016
SAN LUIS,180,LIMA,LIMA,191,11,0.9424083769633508
LA MOLINA,561,LIMA,LIMA,571,10,0.9824868651488616
LINCE,284,LIMA,LIMA,294,10,0.9659863945578231
PUNTA NEGRA,15,LIMA,LIMA,25,10,0.6
SANTA ROSA,57,LIMA,LIMA,67,10,0.8507462686567164
BELLAVISTA,237,CALLAO,CALLAO,243,6,0.9753086419753086
LA PERLA,191,CALLAO,CALLAO,195,4,0.9794871794871794
BREÃA,353,LIMA,LIMA,355,2,0.9943661971830986
BARRANCO,150,LIMA,LIMA,151,1,0.9933774834437086
PUEBLO LIBRE,336,LIMA,LIMA,337,1,0.9970326409495549
SAN BARTOLO,23,LIMA,LIMA,24,1,0.9583333333333334
CHACLACAYO,139,LIMA,LIMA,139,0,1
LA PUNTA,22,CALLAO,CALLAO,22,0,1
MI PERU,116,CALLAO,CALLAO,116,0,1
PUCUSANA,44,LIMA,LIMA,44,0,1
PUNTA HERMOSA,32,LIMA,LIMA,32,0,1
SANTA MARIA DEL MAR,6,LIMA,LIMA,6,0,1
