department,province,district,polling_tables
CALLAO,CALLAO,BELLAVISTA,243
CALLAO,CALLAO,CALLAO,1316
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,147
CALLAO,CALLAO,LA PERLA,195
CALLAO,CALLAO,LA PUNTA,22
CALLAO,CALLAO,MI PERU,116
CALLAO,CALLAO,VENTANILLA,859
LIMA,LIMA,ANCON,164
LIMA,LIMA,ATE,"1,650"
LIMA,LIMA,BARRANCO,151
LIMA,LIMA,BREÑA,355
LIMA,LIMA,CARABAYLLO,855
LIMA,LIMA,CHACLACAYO,139
LIMA,LIMA,CHORRILLOS,896
LIMA,LIMA,CIENEGUILLA,103
LIMA,LIMA,COMAS,1493
LIMA,LIMA,EL AGUSTINO,572
LIMA,LIMA,INDEPENDENCIA,595
LIMA,LIMA,JESUS MARIA,431
LIMA,LIMA,LA MOLINA,571
LIMA,LIMA,LA VICTORIA,642
LIMA,LIMA,LIMA,1030
LIMA,LIMA,LINCE,294
LIMA,LIMA,LOS OLIVOS,983
LIMA,LIMA,LURIGANCHO,548
LIMA,LIMA,LURIN,247
LIMA,LIMA,MAGDALENA DEL MAR,255
LIMA,LIMA,MIRAFLORES,480
LIMA,LIMA,PACHACAMAC,315
LIMA,LIMA,PUCUSANA,44
LIMA,LIMA,PUEBLO LIBRE,337
LIMA,LIMA,PUENTE PIEDRA,889
LIMA,LIMA,PUNTA HERMOSA,32
LIMA,LIMA,PUNTA NEGRA,25
LIMA,LIMA,RIMAC,567
LIMA,LIMA,SAN BARTOLO,24
LIMA,LIMA,SAN BORJA,420
LIMA,LIMA,SAN ISIDRO,281
LIMA,LIMA,SAN JUAN DE LURIGANCHO,2744
LIMA,LIMA,SAN JUAN DE MIRAFLORES,1115
LIMA,LIMA,SAN LUIS,191
LIMA,LIMA,SAN MARTIN DE PORRES,1798
LIMA,LIMA,SAN MIGUEL,504
LIMA,LIMA,SANTA ANITA,630
LIMA,LIMA,SANTA MARIA DEL MAR,6
LIMA,LIMA,SANTA ROSA,67
LIMA,LIMA,SANTIAGO DE SURCO,1184
LIMA,LIMA,SURQUILLO,337
LIMA,LIMA,VILLA EL SALVADOR,1163
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,1241
