table_id,dept,prov,dist,eligible_voters,total_voters
033251,LIMA,LIMA,LIMA,300,230
033252,LIMA,LIMA,LIMA,300,234
033253,LIMA,LIMA,LIMA,300,226
033254,LIMA,LIMA,LIMA,300,162
033255,LIMA,LIMA,LIMA,300,139
033256,LIMA,LIMA,LIMA,300,135
033257,LIMA,LIMA,LIMA,300,202
033258,LIMA,LIMA,LIMA,300,179
033259,LIMA,LIMA,LIMA,300,172
033260,LIMA,LIMA,LIMA,300,182
033261,LIMA,LIMA,LIMA,300,190
033262,LIMA,LIMA,LIMA,300,223
033263,LIMA,LIMA,LIMA,300,218
033264,LIMA,LIMA,LIMA,300,226
033265,LIMA,LIMA,LIMA,300,227
033266,LIMA,LIMA,LIMA,300,219
033267,LIMA,LIMA,LIMA,300,218
033268,LIMA,LIMA,LIMA,300,187
033269,LIMA,LIMA,LIMA,300,175
033270,LIMA,LIMA,LIMA,300,187
033271,LIMA,LIMA,LIMA,300,212
033272,LIMA,LIMA,LIMA,300,193
033273,LIMA,LIMA,LIMA,300,181
033274,LIMA,LIMA,LIMA,300,244
033275,LIMA,LIMA,LIMA,300,235
033276,LIMA,LIMA,LIMA,300,228
033277,LIMA,LIMA,LIMA,300,240
033278,LIMA,LIMA,LIMA,300,227
033279,LIMA,LIMA,LIMA,300,248
033280,LIMA,LIMA,LIMA,300,233
033281,LIMA,LIMA,LIMA,300,237
033282,LIMA,LIMA,LIMA,300,217
033283,LIMA,LIMA,LIMA,300,207
033284,LIMA,LIMA,LIMA,300,212
033285,LIMA,LIMA,LIMA,300,232
033286,LIMA,LIMA,LIMA,300,215
033287,LIMA,LIMA,LIMA,300,223
033288,LIMA,LIMA,LIMA,300,220
033289,LIMA,LIMA,LIMA,300,216
033290,LIMA,LIMA,LIMA,300,220
033291,LIMA,LIMA,LIMA,300,161
033292,LIMA,LIMA,LIMA,300,166
033293,LIMA,LIMA,LIMA,300,159
033294,LIMA,LIMA,LIMA,300,154
033295,LIMA,LIMA,LIMA,300,164
033296,LIMA,LIMA,LIMA,300,160
033297,LIMA,LIMA,LIMA,300,157
033298,LIMA,LIMA,LIMA,300,234
033299,LIMA,LIMA,LIMA,300,236
033300,LIMA,LIMA,LIMA,300,230
033301,LIMA,LIMA,LIMA,300,233
033302,LIMA,LIMA,LIMA,300,227
033303,LIMA,LIMA,LIMA,300,234
033304,LIMA,LIMA,LIMA,300,244
033305,LIMA,LIMA,LIMA,300,230
033306,LIMA,LIMA,LIMA,300,221
033307,LIMA,LIMA,LIMA,300,238
033308,LIMA,LIMA,LIMA,300,241
033309,LIMA,LIMA,LIMA,300,237
033310,LIMA,LIMA,LIMA,300,242
033311,LIMA,LIMA,LIMA,300,204
033312,LIMA,LIMA,LIMA,300,209
033313,LIMA,LIMA,LIMA,300,217
033314,LIMA,LIMA,LIMA,300,214
033315,LIMA,LIMA,LIMA,300,207
033316,LIMA,LIMA,LIMA,300,217
033317,LIMA,LIMA,LIMA,300,192
033318,LIMA,LIMA,LIMA,300,187
033319,LIMA,LIMA,LIMA,300,203
033320,LIMA,LIMA,LIMA,300,236
033321,LIMA,LIMA,LIMA,300,235
033322,LIMA,LIMA,LIMA,300,217
033323,LIMA,LIMA,LIMA,300,241
033324,LIMA,LIMA,LIMA,300,221
033325,LIMA,LIMA,LIMA,300,237
033326,LIMA,LIMA,LIMA,300,226
033327,LIMA,LIMA,LIMA,300,205
033328,LIMA,LIMA,LIMA,300,205
033329,LIMA,LIMA,LIMA,300,202
033330,LIMA,LIMA,LIMA,300,199
033331,LIMA,LIMA,LIMA,300,205
033332,LIMA,LIMA,LIMA,300,193
033333,LIMA,LIMA,LIMA,300,208
033334,LIMA,LIMA,LIMA,300,201
033335,LIMA,LIMA,LIMA,300,215
033336,LIMA,LIMA,LIMA,300,225
033337,LIMA,LIMA,LIMA,300,222
033338,LIMA,LIMA,LIMA,300,210
033339,LIMA,LIMA,LIMA,300,198
033340,LIMA,LIMA,LIMA,300,216
033341,LIMA,LIMA,LIMA,300,217
033342,LIMA,LIMA,LIMA,300,218
033343,LIMA,LIMA,LIMA,300,227
033344,LIMA,LIMA,LIMA,300,188
033345,LIMA,LIMA,LIMA,300,180
033346,LIMA,LIMA,LIMA,300,174
033347,LIMA,LIMA,LIMA,300,168
033348,LIMA,LIMA,LIMA,300,216
033349,LIMA,LIMA,LIMA,300,224
033350,LIMA,LIMA,LIMA,300,212
033351,LIMA,LIMA,LIMA,300,201
033352,LIMA,LIMA,LIMA,300,203
033353,LIMA,LIMA,LIMA,300,207
033354,LIMA,LIMA,LIMA,300,197
033355,LIMA,LIMA,LIMA,300,204
033356,LIMA,LIMA,LIMA,300,204
033357,LIMA,LIMA,LIMA,300,210
033358,LIMA,LIMA,LIMA,300,204
033359,LIMA,LIMA,LIMA,300,199
033360,LIMA,LIMA,LIMA,300,207
033361,LIMA,LIMA,LIMA,300,204
033362,LIMA,LIMA,LIMA,300,210
033363,LIMA,LIMA,LIMA,300,218
033364,LIMA,LIMA,LIMA,300,210
033365,LIMA,LIMA,LIMA,300,223
033366,LIMA,LIMA,LIMA,300,213
033367,LIMA,LIMA,LIMA,300,209
033368,LIMA,LIMA,LIMA,300,187
033369,LIMA,LIMA,LIMA,300,200
033370,LIMA,LIMA,LIMA,300,201
033371,LIMA,LIMA,LIMA,300,200
033372,LIMA,LIMA,LIMA,300,224
033373,LIMA,LIMA,LIMA,300,220
033374,LIMA,LIMA,LIMA,300,209
033375,LIMA,LIMA,LIMA,300,214
033376,LIMA,LIMA,LIMA,300,201
033377,LIMA,LIMA,LIMA,300,217
033378,LIMA,LIMA,LIMA,300,217
033379,LIMA,LIMA,LIMA,300,214
033380,LIMA,LIMA,LIMA,300,212
033381,LIMA,LIMA,LIMA,300,205
033382,LIMA,LIMA,LIMA,300,223
033383,LIMA,LIMA,LIMA,300,199
033384,LIMA,LIMA,LIMA,300,222
033385,LIMA,LIMA,LIMA,300,211
033386,LIMA,LIMA,LIMA,300,210
033387,LIMA,LIMA,LIMA,300,205
033388,LIMA,LIMA,LIMA,300,204
033389,LIMA,LIMA,LIMA,300,215
033390,LIMA,LIMA,LIMA,300,229
033391,LIMA,LIMA,LIMA,300,225
033392,LIMA,LIMA,LIMA,300,232
033393,LIMA,LIMA,LIMA,300,234
033394,LIMA,LIMA,LIMA,300,225
