table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
035982,LIMA,LIMA,LIMA,08:24 a. m.,300,238,35,5
035970,LIMA,LIMA,LIMA,07:34 a. m.,300,251,35,7
035972,LIMA,LIMA,LIMA,08:00 a. m.,300,217,17,5
035987,LIMA,LIMA,LIMA,07:31 a. m.,300,231,33,8
035971,LIMA,LIMA,LIMA,08:07 a. m.,300,243,37,3
035977,LIMA,LIMA,LIMA,07:26 a. m.,300,234,49,4
035978,LIMA,LIMA,LIMA,07:50 a. m.,300,236,34,2
036006,LIMA,LIMA,LIMA,07:50 a. m.,300,228,41,6
035986,LIMA,LIMA,LIMA,07:37 a. m.,300,233,38,9
036010,LIMA,LIMA,LIMA,07:53 a. m.,300,245,54,6
035999,LIMA,LIMA,LIMA,08:10 a. m.,300,217,40,4
036019,LIMA,LIMA,LIMA,08:05 a. m.,300,231,33,7
036040,LIMA,LIMA,LIMA,07:00 a. m.,300,234,43,4
035990,LIMA,LIMA,LIMA,07:35 a. m.,300,232,35,5
035993,LIMA,LIMA,LIMA,07:30 a. m.,300,240,36,9
035984,LIMA,LIMA,LIMA,07:37 a. m.,300,240,32,8
035979,LIMA,LIMA,LIMA,07:00 a. m.,300,235,49,4
035995,LIMA,LIMA,LIMA,08:01 a. m.,230,159,34,3
035969,LIMA,LIMA,LIMA,07:35 a. m.,230,167,24,1
035975,LIMA,LIMA,LIMA,07:30 a. m.,300,249,41,7
035989,LIMA,LIMA,LIMA,07:45 a. m.,300,244,42,7
035991,LIMA,LIMA,LIMA,07:36 a. m.,300,228,37,3
036024,LIMA,LIMA,LIMA,07:59 a. m.,300,224,47,1
036003,LIMA,LIMA,LIMA,07:30 a. m.,300,217,39,5
036015,LIMA,LIMA,LIMA,07:19 a. m.,300,228,44,6
035994,LIMA,LIMA,LIMA,07:50 a. m.,300,233,38,8
036014,LIMA,LIMA,LIMA,07:33 a. m.,300,234,38,2
035976,LIMA,LIMA,LIMA,07:10 a. m.,300,221,50,4
036013,LIMA,LIMA,LIMA,07:28 a. m.,300,223,39,3
035983,LIMA,LIMA,LIMA,08:15 a. m.,300,236,32,7
035996,LIMA,LIMA,LIMA,07:18 a. m.,230,170,32,2
036007,LIMA,LIMA,LIMA,07:32 a. m.,300,227,36,6
035981,LIMA,LIMA,LIMA,08:14 a. m.,234,180,30,5
